Macrotrends Data Download

CME Japanese Yen JPY Futures #1 (JY1)

All contracts are Front Month | Calendar-Weighted Adjusted Prices,
Roll on First of Month | Continuous Contract History.

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1978-02-16,4192.0000
1978-02-17,4193.0000
1978-02-21,4214.0000
1978-02-22,4197.0000
1978-02-23,4227.0000
1978-02-24,4200.8000
1978-02-27,4222.0000
1978-02-28,4261.0000
1978-03-01,4260.0000
1978-03-02,4256.0000
1978-03-03,4291.0000
1978-03-06,4307.0000
1978-03-07,4313.0000
1978-03-08,4334.0000
1978-03-09,4304.0000
1978-03-10,4285.0000
1978-03-13,4329.0000
1978-03-14,4352.0000
1978-03-15,4351.0000
1978-03-16,4388.0000
1978-03-17,4407.0000
1978-03-20,4413.0000
1978-03-21,4412.0000
1978-03-22,4414.0000
1978-03-23,4426.0000
1978-03-27,4486.0000
1978-03-28,4522.0000
1978-03-29,4573.0000
1978-03-30,4557.0000
1978-03-31,4616.0000
1978-04-03,4633.0000
1978-04-04,4630.0000
1978-04-05,4644.0000
1978-04-06,4636.0000
1978-04-07,4588.0000
1978-04-10,4602.0000
1978-04-11,4635.0000
1978-04-12,4627.0000
1978-04-13,4606.0000
1978-04-14,4613.0000
1978-04-17,4553.0000
1978-04-18,4532.0000
1978-04-19,4554.0000
1978-04-20,4494.0000
1978-04-21,4448.0000
1978-04-24,4416.0000
1978-04-25,4435.0000
1978-04-26,4495.0000
1978-04-27,4527.0000
1978-04-28,4467.0000
1978-05-01,4454.0000
1978-05-02,4449.0000
1978-05-03,4464.0000
1978-05-04,4497.0000
1978-05-05,4490.0000
1978-05-08,4468.0000
1978-05-09,4470.0000
1978-05-10,4466.0000
1978-05-11,4459.0000
1978-05-12,4451.0000
1978-05-15,4435.0000
1978-05-16,4413.0000
1978-05-17,4400.0000
1978-05-18,4422.0000
1978-05-19,4397.0000
1978-05-22,4377.0000
1978-05-23,4379.0000
1978-05-24,4392.0000
1978-05-25,4454.0000
1978-05-26,4473.2000
1978-05-30,4543.0000
1978-05-31,4611.2000
1978-06-01,4579.0000
1978-06-02,4578.0000
1978-06-05,4581.0000
1978-06-06,4603.0000
1978-06-07,4591.0000
1978-06-08,4591.0000
1978-06-09,4604.0000
1978-06-12,4664.0000
1978-06-13,4688.0000
1978-06-14,4706.0000
1978-06-15,4692.0000
1978-06-16,4698.0000
1978-06-19,4756.0000
1978-06-20,4797.0000
